DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID80337644,62338-47-0,3-methyldec-4-ene,1,0.25,3-methyldec-4-ene,62338-47-0,DTXSID7022413,Isoeugenol,97-54-1,-0.07692307692307693,0.8172832907063171,0.1206896551724138,0.3706896551724138
DTXSID3020833,1634-04-4,Methyl tert-butyl ether,0,0,Methyl tert-butyl ether,1634-04-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2237762237762238,0.48491114040273436,0.367816091954023,0.367816091954023
DTXSID7021653,110-62-3,Pentanal,0,0,Pentanal,110-62-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2237762237762238,0.48491114040273436,0.367816091954023,0.367816091954023
DTXSID7051769,1632-16-2,3-Methyleneheptane,1,0.25,3-Methyleneheptane,1632-16-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.09090909090909093,0.783196910294608,0.10919540229885057,0.35919540229885055
DTXSID1061316,934-74-7,5-Ethyl-m-xylene,0,0,5-Ethyl-m-xylene,934-74-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2027972027972028,0.5281002367834549,0.3505747126436782,0.3505747126436782
DTXSID10871182,7146-60-3,"2,3-Dimethyloctane",0,0,"2,3-Dimethyloctane",7146-60-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.3448275862068966
DTXSID4061468,1074-43-7,1-Methyl-3-propylbenzene,0,0,1-Methyl-3-propylbenzene,1074-43-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.3448275862068966
DTXSID70858792,483-76-1,(+)-d-Cadinene,0,0,(+)-d-Cadinene,483-76-1,DTXSID7022413,Isoeugenol,97-54-1,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.3448275862068966
DTXSID9021635,78-84-2,2-Methylpropanal,0,0,2-Methylpropanal,78-84-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.3448275862068966
DTXSID201009429,4254-14-2,"(-)-1,2-Propanediol",0,0,"(-)-1,2-Propanediol",4254-14-2,DTXSID3020964,Nitrobenzene,98-95-3,0.18881118881118883,0.557827775088338,0.3390804597701149,0.3390804597701149
DTXSID501009430,4254-15-3,"(+)-1,2-Propanediol",0,0,"(+)-1,2-Propanediol",4254-15-3,DTXSID3020964,Nitrobenzene,98-95-3,0.18881118881118883,0.557827775088338,0.3390804597701149,0.3390804597701149
DTXSID6047107,5435-64-3,"3,5,5-Trimethylhexanal",0,0,"3,5,5-Trimethylhexanal",5435-64-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18881118881118883,0.557827775088338,0.3390804597701149,0.3390804597701149
DTXSID8021513,123-72-8,Butyraldehyde,0,0,Butyraldehyde,123-72-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18881118881118883,0.557827775088338,0.3390804597701149,0.3390804597701149
DTXSID2063553,4675-87-0,"2-Buten-1-ol, 2-methyl-",1,0.25,"2-Buten-1-ol, 2-methyl-",4675-87-0,DTXSID3020964,Nitrobenzene,98-95-3,-0.1188811188811189,0.7161843265955253,0.08620689655172414,0.33620689655172414
DTXSID40862240,584-94-1,"2,3-Dimethylhexane",0,0,"2,3-Dimethylhexane",584-94-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18181818181818185,0.5729582212099558,0.3333333333333333,0.3333333333333333
DTXSID5021910,109-97-7,Pyrrole,0,0,Pyrrole,109-97-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18181818181818185,0.5729582212099558,0.3333333333333333,0.3333333333333333
DTXSID60880744,52670-34-5,"octane, 2,3,6,7-tetramethyl-",0,0,"octane, 2,3,6,7-tetramethyl-",52670-34-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18181818181818185,0.5729582212099558,0.3333333333333333,0.3333333333333333
DTXSID2058621,13429-07-7,1-(2-Methoxypropoxy)-2-propanol,0,0,1-(2-Methoxypropoxy)-2-propanol,13429-07-7,DTXSID7022413,Isoeugenol,97-54-1,0.17482517482517487,0.5882598949233351,0.3275862068965517,0.3275862068965517
DTXSID7022093,625-86-5,"2,5-Dimethylfuran",0,0,"2,5-Dimethylfuran",625-86-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.17482517482517487,0.5882598949233351,0.3275862068965517,0.3275862068965517
DTXSID00185644,3178-29-8,4-Propylheptane,0,0,4-Propylheptane,3178-29-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.31609195402298856
DTXSID3025469,123-51-3,Isopentyl alcohol,0,0,Isopentyl alcohol,123-51-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.31609195402298856
DTXSID40158933,13475-78-0,"Heptane, 5-ethyl-2-methyl-",0,0,"Heptane, 5-ethyl-2-methyl-",13475-78-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.31609195402298856
DTXSID6030607,105-57-7,Acetal,0,0,Acetal,105-57-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.31609195402298856
DTXSID60873237,589-43-5,"2,4-Dimethylhexane",0,0,"2,4-Dimethylhexane",589-43-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.31609195402298856
DTXSID3049380,97-96-1,2-Ethylbutyraldehyde,0,0,2-Ethylbutyraldehyde,97-96-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.15384615384615385,0.6351399553775863,0.3103448275862069,0.3103448275862069
DTXSID9025611,534-22-5,2-Methylfuran,0,0,2-Methylfuran,534-22-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.15384615384615385,0.6351399553775863,0.3103448275862069,0.3103448275862069
DTXSID50881245,470-40-6,cis-thujopsene,1,0.25,cis-thujopsene,470-40-6,DTXSID7022413,Isoeugenol,97-54-1,-0.15384615384615385,0.6351399553775858,0.057471264367816105,0.30747126436781613
DTXSID30860336,577-55-9,"Benzene, 1,2-bis(1-methylethyl)-",0,0,"Benzene, 1,2-bis(1-methylethyl)-",577-55-9,DTXSID7022413,Isoeugenol,97-54-1,0.13986013986013987,0.6671505359874287,0.29885057471264365,0.29885057471264365
DTXSID40863297,3944-36-3,1-Isopropoxy-2-propanol,0,0,1-Isopropoxy-2-propanol,3944-36-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.13986013986013987,0.6671505359874287,0.29885057471264365,0.29885057471264365
DTXSID2021993,132-64-9,Dibenzofuran,0,0,Dibenzofuran,132-64-9,DTXSID3020964,Nitrobenzene,98-95-3,0.1328671328671329,0.6833655342846062,0.29310344827586204,0.29310344827586204
DTXSID20334819,62016-28-8,"2,2,6-Trimethyloctane",0,0,"2,2,6-Trimethyloctane",62016-28-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1328671328671329,0.6833655342846062,0.29310344827586204,0.29310344827586204
DTXSID6026797,108-67-8,"1,3,5-Trimethylbenzene",0,0,"1,3,5-Trimethylbenzene",108-67-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1258741258741259,0.6997122207317211,0.28735632183908044,0.28735632183908044
DTXSID1024881,930-68-7,2-Cyclohexen-1-one,0,0,2-Cyclohexen-1-one,930-68-7,DTXSID3020964,Nitrobenzene,98-95-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.27011494252873564
DTXSID4052215,555-10-2,beta-Phellandrene,0,0,beta-Phellandrene,555-10-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.27011494252873564
DTXSID6060892,631-67-4,"Ethanethioamide, N,N-dimethyl-",0,0,"Ethanethioamide, N,N-dimethyl-",631-67-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.27011494252873564
DTXSID7047061,629-78-7,Heptadecane,0,0,Heptadecane,629-78-7,DTXSID7022413,Isoeugenol,97-54-1,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.27011494252873564
DTXSID10337990,62199-06-8,"5-Ethyl-2,2,3-trimethylheptane",0,0,"5-Ethyl-2,2,3-trimethylheptane",62199-06-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.09790209790209792,0.766288456385056,0.26436781609195403,0.26436781609195403
DTXSID6027266,629-50-5,Tridecane,0,0,Tridecane,629-50-5,DTXSID7022413,Isoeugenol,97-54-1,0.09790209790209792,0.766288456385056,0.26436781609195403,0.26436781609195403
DTXSID70147911,1071-31-4,"Octane, 2,2,7,7-tetramethyl-",0,0,"Octane, 2,2,7,7-tetramethyl-",1071-31-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.09090909090909093,0.7831969102946084,0.25862068965517243,0.25862068965517243
DTXSID10862257,591-47-9,"Cyclohexene, 4-methyl-",0,0,"Cyclohexene, 4-methyl-",591-47-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.08391608391608392,0.8001975179523347,0.2528735632183908,0.2528735632183908
DTXSID30211364,623-69-8,"2-Propanol, 1,3-dimethoxy-",0,0,"2-Propanol, 1,3-dimethoxy-",623-69-8,DTXSID3020964,Nitrobenzene,98-95-3,0.07692307692307693,0.8172832907063169,0.2471264367816092,0.2471264367816092
DTXSID0027195,544-76-3,Hexadecane,0,0,Hexadecane,544-76-3,DTXSID7022413,Isoeugenol,97-54-1,0.05594405594405595,0.8689803393263472,0.22988505747126436,0.22988505747126436
DTXSID9047679,3777-69-3,2-Pentylfuran,0,0,2-Pentylfuran,3777-69-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.05594405594405595,0.8689803393263472,0.22988505747126436,0.22988505747126436
DTXSID2021604,66-25-1,Hexanal,0,0,Hexanal,66-25-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.04895104895104896,0.8863351088649201,0.22413793103448276,0.22413793103448276
DTXSID6027268,629-62-9,Pentadecane,0,0,Pentadecane,629-62-9,DTXSID7022413,Isoeugenol,97-54-1,0.02097902097902098,0.9561691549379485,0.20114942528735633,0.20114942528735633
DTXSID501015853,3983-08-2,3-(1-Methylethyl)cyclohexene,0,0,3-(1-Methylethyl)cyclohexene,3983-08-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.006993006993006994,0.9912300360571011,0.1781609195402299,0.1781609195402299
DTXSID60864367,13150-81-7,"2,6-Dimethyldecane",0,0,"2,6-Dimethyldecane",13150-81-7,DTXSID7022413,Isoeugenol,97-54-1,-0.006993006993006994,0.9912300360571011,0.1781609195402299,0.1781609195402299
DTXSID70212976,636-41-9,2-Methylpyrrole,0,0,2-Methylpyrrole,636-41-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.006993006993006994,0.9912300360571011,0.1781609195402299,0.1781609195402299
DTXSID7041671,7785-70-8,(+)-alpha-Pinene,0,0,(+)-alpha-Pinene,7785-70-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.006993006993006994,0.9912300360571011,0.1781609195402299,0.1781609195402299
DTXSID1027267,629-59-4,Tetradecane,0,0,Tetradecane,629-59-4,DTXSID7022413,Isoeugenol,97-54-1,-0.013986013986013988,0.973693903956088,0.1724137931034483,0.1724137931034483
DTXSID30858793,6753-98-6,alpha-Humalene,0,0,alpha-Humalene,6753-98-6,DTXSID7022413,Isoeugenol,97-54-1,-0.03496503496503497,0.9211840827919622,0.15517241379310345,0.15517241379310345
DTXSID5025285,629-14-1,Ethylene glycol diethyl ether,0,0,Ethylene glycol diethyl ether,629-14-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.03496503496503497,0.9211840827919622,0.15517241379310345,0.15517241379310345
DTXSID40862508,1002-43-3,3-Methylundecane,0,0,3-Methylundecane,1002-43-3,DTXSID7022413,Isoeugenol,97-54-1,-0.04195804195804196,0.9037388362023694,0.14942528735632185,0.14942528735632185
DTXSID8026640,99-62-7,"1,3-Diisopropylbenzene",0,0,"1,3-Diisopropylbenzene",99-62-7,DTXSID7022413,Isoeugenol,97-54-1,-0.07692307692307693,0.8172832907063171,0.1206896551724138,0.1206896551724138
DTXSID10866912,62108-25-2,"2,6,7-Trimethyldecane",0,0,"2,6,7-Trimethyldecane",62108-25-2,DTXSID7022413,Isoeugenol,97-54-1,-0.09090909090909093,0.783196910294608,0.10919540229885057,0.10919540229885057
DTXSID7059779,293-96-9,Cyclodecane,0,0,Cyclodecane,293-96-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.09090909090909093,0.783196910294608,0.10919540229885057,0.10919540229885057
DTXSID3051888,23436-19-3,1-Isobutoxypropan-2-ol,0,0,1-Isobutoxypropan-2-ol,23436-19-3,DTXSID7022413,Isoeugenol,97-54-1,-0.17482517482517487,0.5882598949233353,0.04022988505747124,0.04022988505747124
DTXSID9021552,294-62-2,Cyclododecane,0,0,Cyclododecane,294-62-2,DTXSID7022413,Isoeugenol,97-54-1,-0.19580419580419584,0.5428735206298202,0.022988505747126433,0.022988505747126433
DTXSID30975297,5989-08-2,"2,6,6,9-Tetramethyltricyclo[5.4.0.0~2,8~]undec-9-ene",0,0,"2,6,6,9-Tetramethyltricyclo[5.4.0.0~2,8~]undec-9-ene",5989-08-2,DTXSID7022413,Isoeugenol,97-54-1,-0.2237762237762238,0.4849111404027346,0,0
DTXSID6042496,1066-45-1,Trimethyltin chloride,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
