DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID5060938,640-61-9,"Benzenesulfonamide, N,4-dimethyl-",0,0,"Benzenesulfonamide, N,4-dimethyl-",640-61-9,DTXSID3020964,Nitrobenzene,98-95-3,0.6713286713286714,0.020441878422450543,0.735632183908046,0.735632183908046
DTXSID7021029,62-75-9,N-Nitrosodimethylamine,0,0,N-Nitrosodimethylamine,62-75-9,DTXSID3020964,Nitrobenzene,98-95-3,0.6713286713286714,0.020441878422450543,0.735632183908046,0.735632183908046
DTXSID00178253,2360-45-4,2-(1-Oxopropyl)benzoic acid,0,0,2-(1-Oxopropyl)benzoic acid,2360-45-4,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID1046421,98-67-9,4-Hydroxyphenylsulfonic acid,0,0,4-Hydroxyphenylsulfonic acid,98-67-9,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID10866472,55256-09-2,"11,20-Didecyltriacontane",0,0,"11,20-Didecyltriacontane",55256-09-2,DTXSID7022413,Isoeugenol,97-54-1,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID3022114,761-65-9,"N,N-Dibutylformamide",0,0,"N,N-Dibutylformamide",761-65-9,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID5044495,5471-51-2,4-(4-Hydroxyphenyl)butan-2-one,0,0,4-(4-Hydroxyphenyl)butan-2-one,5471-51-2,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID5059791,306-08-1,Homovanillic acid,0,0,Homovanillic acid,306-08-1,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID8027246,616-45-5,2-Pyrrolidinone,0,0,2-Pyrrolidinone,616-45-5,DTXSID3020964,Nitrobenzene,98-95-3,0.6643356643356645,0.022159207150302333,0.7298850574712645,0.7298850574712645
DTXSID2052607,91-10-1,"2,6-Dimethoxyphenol",0,0,"2,6-Dimethoxyphenol",91-10-1,DTXSID7022413,Isoeugenol,97-54-1,0.6573426573426574,0.02398108317146215,0.7241379310344828,0.7241379310344828
DTXSID2074746,5355-17-9,"Phenol, 4-(methoxymethyl)-",0,0,"Phenol, 4-(methoxymethyl)-",5355-17-9,DTXSID7022413,Isoeugenol,97-54-1,0.6573426573426574,0.02398108317146215,0.7241379310344828,0.7241379310344828
DTXSID5049655,4511-42-6,L-Dilactide,0,0,L-Dilactide,4511-42-6,DTXSID3020964,Nitrobenzene,98-95-3,0.6573426573426574,0.02398108317146215,0.7241379310344828,0.7241379310344828
DTXSID7041253,95-96-5,"3,6-Dimethyl-2,5-dioxo-1,4-dioxane",0,0,"3,6-Dimethyl-2,5-dioxo-1,4-dioxane",95-96-5,DTXSID3020964,Nitrobenzene,98-95-3,0.6573426573426574,0.02398108317146215,0.7241379310344828,0.7241379310344828
DTXSID8061715,1471-03-0,"1-Propene, 3-propoxy-",2,0.5,"1-Propene, 3-propoxy-",1471-03-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.04895104895104896,0.8863351088649201,0.22413793103448276,0.7241379310344828
DTXSID9022104,693-54-9,2-Decanone,0,0,2-Decanone,693-54-9,DTXSID7022413,Isoeugenol,97-54-1,0.6573426573426574,0.02398108317146215,0.7241379310344828,0.7241379310344828
DTXSID90228312,7768-28-7,2-Hydroxybenzeneethanol,0,0,2-Hydroxybenzeneethanol,7768-28-7,DTXSID7022413,Isoeugenol,97-54-1,0.6503496503496504,0.025911516845969543,0.7183908045977011,0.7183908045977011
DTXSID9044451,627-91-8,Methyl hydrogen adipate,0,0,Methyl hydrogen adipate,627-91-8,DTXSID3020964,Nitrobenzene,98-95-3,0.6503496503496504,0.025911516845969543,0.7183908045977011,0.7183908045977011
DTXSID0023113,90-05-1,2-Methoxyphenol,0,0,2-Methoxyphenol,90-05-1,DTXSID7022413,Isoeugenol,97-54-1,0.6433566433566434,0.02795455282181709,0.7126436781609197,0.7126436781609197
DTXSID2060462,592-35-8,"Carbamic acid, butyl ester",0,0,"Carbamic acid, butyl ester",592-35-8,DTXSID3020964,Nitrobenzene,98-95-3,0.6433566433566434,0.02795455282181709,0.7126436781609197,0.7126436781609197
DTXSID6047650,123-19-3,4-Heptanone,0,0,4-Heptanone,123-19-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6433566433566434,0.02795455282181709,0.7126436781609197,0.7126436781609197
DTXSID40303360,55282-11-6,11-Pentan-3-ylhenicosane,0,0,11-Pentan-3-ylhenicosane,55282-11-6,DTXSID7022413,Isoeugenol,97-54-1,0.6363636363636365,0.03011426472965619,0.7068965517241379,0.7068965517241379
DTXSID1060211,536-74-3,Phenylacetylene,0,0,Phenylacetylene,536-74-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6223776223776225,0.03480012285534383,0.6954022988505747,0.6954022988505747
DTXSID2047438,106-35-4,3-Heptanone,0,0,3-Heptanone,106-35-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6223776223776225,0.03480012285534383,0.6954022988505747,0.6954022988505747
DTXSID4041448,1638-16-0,"2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-",0,0,"2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-",1638-16-0,DTXSID7022413,Isoeugenol,97-54-1,0.6223776223776225,0.03480012285534383,0.6954022988505747,0.6954022988505747
DTXSID1044518,1135-66-6,(-)-Isolongifolene,2,0.5,(-)-Isolongifolene,1135-66-6,DTXSID3020964,Nitrobenzene,98-95-3,0.006993006993006994,0.9912300360571011,0.18965517241379312,0.6896551724137931
DTXSID0073459,29480-42-0,"1,5-Cyclooctadiene, 1,6-dichloro-",0,0,"1,5-Cyclooctadiene, 1,6-dichloro-",29480-42-0,DTXSID7022413,Isoeugenol,97-54-1,0.6153846153846154,0.037334511366369796,0.689655172413793,0.689655172413793
DTXSID5075284,589-90-2,"1,4-Dimethylcyclohexane",1,0.25,"1,4-Dimethylcyclohexane",589-90-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3076923076923077,0.3308626742508928,0.43678160919540227,0.6867816091954022
DTXSID1021611,54549-72-3,1-[4-(1-Hydroxy-1-methylethyl)phenyl]ethanone,0,0,1-[4-(1-Hydroxy-1-methylethyl)phenyl]ethanone,54549-72-3,DTXSID3020964,Nitrobenzene,98-95-3,0.6083916083916084,0.04000204878864573,0.6839080459770116,0.6839080459770116
DTXSID6026119,527-53-7,"1,2,3,5-Tetramethylbenzene",0,0,"1,2,3,5-Tetramethylbenzene",527-53-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6083916083916084,0.04000204878864573,0.6839080459770116,0.6839080459770116
DTXSID8051590,116-09-6,Hydroxyacetone,0,0,Hydroxyacetone,116-09-6,DTXSID3020964,Nitrobenzene,98-95-3,0.6083916083916084,0.04000204878864573,0.6839080459770116,0.6839080459770116
DTXSID0051528,104-68-7,Diethylene glycol monophenyl ether,0,0,Diethylene glycol monophenyl ether,104-68-7,DTXSID3020964,Nitrobenzene,98-95-3,0.6013986013986015,0.04280686898757623,0.6781609195402298,0.6781609195402298
DTXSID1060714,620-02-0,"2-Furancarboxaldehyde, 5-methyl-",0,0,"2-Furancarboxaldehyde, 5-methyl-",620-02-0,DTXSID3020964,Nitrobenzene,98-95-3,0.6013986013986015,0.04280686898757623,0.6781609195402298,0.6781609195402298
DTXSID50862478,932-66-1,1-(Cyclohex-1-en-1-yl)ethan-1-one,0,0,1-(Cyclohex-1-en-1-yl)ethan-1-one,932-66-1,DTXSID3020964,Nitrobenzene,98-95-3,0.6013986013986015,0.04280686898757623,0.6781609195402298,0.6781609195402298
